Designator,Footprint,Quantity,Value,LCSC Part #
CN1,DIP-28_W15.24mm_Socket,1,27C256 DIP28 Socket,
"CN2, CN3",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20,
"J1, J3",PinHeader_1x04_P2.54mm_Horizontal,2,Conn_01x04,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
LED1,LED_D3.0mm,1,LED_Small,
LED2,LED_D3.0mm_Clear,1,LED_Small,
Q1,TO-92_Inline,1,2SC1815,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,10k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,100,
"R3, R4, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,1k,
